iter	Passed	Remaining
1093	2625	2174
1094	2627	2171
1095	2630	2169
1096	2632	2166
1097	2634	2164
1098	2637	2162
1099	2639	2159
1100	2641	2156
1101	2644	2154
1102	2646	2152
1103	2649	2150
1104	2651	2147
1105	2653	2145
1106	2656	2142
1107	2658	2140
1108	2661	2137
1109	2663	2135
1110	2665	2132
1111	2667	2130
1112	2669	2127
1113	2671	2124
1114	2674	2122
1115	2677	2120
1116	2679	2118
1117	2681	2115
1118	2683	2112
1119	2685	2110
1120	2688	2107
1121	2691	2105
1122	2693	2103
1123	2695	2100
1124	2697	2098
1125	2699	2095
1126	2702	2093
1127	2704	2090
1128	2707	2089
1129	2710	2086
1130	2712	2084
1131	2714	2081
1132	2716	2078
1133	2719	2076
1134	2721	2074
1135	2724	2072
1136	2727	2069
1137	2729	2067
1138	2731	2064
1139	2733	2062
1140	2735	2059
1141	2738	2057
1142	2740	2054
1143	2743	2052
1144	2745	2050
1145	2748	2047
1146	2750	2045
1147	2753	2043
1148	2755	2040
1149	2757	2038
1150	2759	2035
1151	2761	2032
1152	2763	2030
1153	2765	2027
1154	2768	2025
1155	2771	2023
1156	2774	2021
1157	2776	2019
1158	2779	2016
1159	2781	2014
1160	2783	2011
1161	2785	2008
1162	2788	2006
1163	2790	2004
1164	2793	2001
1165	2795	1999
1166	2797	1996
1167	2800	1994
1168	2802	1992
1169	2805	1990
1170	2807	1987
1171	2809	1984
1172	2811	1982
1173	2813	1979
1174	2816	1977
1175	2818	1974
1176	2821	1972
1177	2823	1970
1178	2825	1967
1179	2827	1965
1180	2830	1962
1181	2832	1960
1182	2834	1957
1183	2837	1955
1184	2839	1953
1185	2842	1950
1186	2844	1948
1187	2846	1945
1188	2849	1943
1189	2851	1940
1190	2854	1938
1191	2856	1936
1192	2858	1933
1193	2860	1931
1194	2862	1928
1195	2864	1925
1196	2866	1923
1197	2869	1920
1198	2872	1918
1199	2876	1917
1200	2878	1915
1201	2880	1912
1202	2883	1910
1203	2886	1908
1204	2888	1905
1205	2890	1903
1206	2892	1900
1207	2894	1897
1208	2896	1895
1209	2899	1892
1210	2902	1890
1211	2905	1888
1212	2907	1886
1213	2909	1883
1214	2911	1880
1215	2913	1878
1216	2915	1875
1217	2918	1873
1218	2921	1871
1219	2923	1869
1220	2925	1866
1221	2927	1863
1222	2929	1861
1223	2932	1858
1224	2935	1856
1225	2937	1854
1226	2939	1851
1227	2941	1849
1228	2944	1847
1229	2946	1844
1230	2949	1842
1231	2952	1840
1232	2954	1837
1233	2956	1834
1234	2958	1832
1235	2960	1829
1236	2962	1827
1237	2964	1824
1238	2967	1822
1239	2969	1820
1240	2971	1817
1241	2974	1815
1242	2976	1812
1243	2978	1810
1244	2980	1807
1245	2983	1805
1246	2986	1803
1247	2988	1800
1248	2990	1798
1249	2992	1795
1250	2994	1792
1251	2997	1790
1252	3000	1788
1253	3002	1786
1254	3004	1783
1255	3006	1781
1256	3008	1778
1257	3011	1776
1258	3013	1773
1259	3016	1771
1260	3018	1769
1261	3020	1766
1262	3022	1763
1263	3024	1761
1264	3027	1758
1265	3029	1756
1266	3032	1754
1267	3034	1751
1268	3036	1749
1269	3038	1746
1270	3041	1744
1271	3043	1741
1272	3047	1740
1273	3049	1737
1274	3051	1735
1275	3053	1732
1276	3055	1730
1277	3057	1727
1278	3060	1724
1279	3062	1722
1280	3065	1720
1281	3067	1718
1282	3070	1715
1283	3072	1713
1284	3074	1710
1285	3077	1708
1286	3080	1706
1287	3082	1704
1288	3085	1701
1289	3087	1699
1290	3089	1696
1291	3091	1694
1292	3093	1691
1293	3096	1689
1294	3099	1687
1295	3101	1684
1296	3103	1682
1297	3105	1679
1298	3107	1677
1299	3109	1674
1300	3112	1672
1301	3115	1670
1302	3117	1667
1303	3119	1664
1304	3121	1662
1305	3123	1659
1306	3125	1657
1307	3128	1655
1308	3130	1652
1309	3132	1650
1310	3134	1647
1311	3137	1645
1312	3139	1642
1313	3142	1640
1314	3145	1638
1315	3147	1636
1316	3149	1633
1317	3152	1631
1318	3154	1628
1319	3156	1625
1320	3158	1623
1321	3161	1621
1322	3163	1618
1323	3165	1616
1324	3168	1613
1325	3170	1611
1326	3172	1609
1327	3175	1606
1328	3177	1604
1329	3179	1601
1330	3182	1599
1331	3185	1597
1332	3187	1594
1333	3189	1592
1334	3191	1589
1335	3193	1587
1336	3196	1584
1337	3198	1582
1338	3200	1580
1339	3202	1577
1340	3204	1574
1341	3207	1572
1342	3209	1570
1343	3211	1567
1344	3214	1565
1345	3216	1562
1346	3218	1560
1347	3220	1557
1348	3222	1555
1349	3225	1553
1350	3228	1550
1351	3230	1548
1352	3232	1545
1353	3234	1543
1354	3236	1540
1355	3239	1538
1356	3242	1536
1357	3244	1533
1358	3246	1531
1359	3248	1528
1360	3250	1526
1361	3252	1523
1362	3254	1521
1363	3257	1518
1364	3259	1516
1365	3262	1514
1366	3264	1511
1367	3266	1509
1368	3269	1506
1369	3272	1504
1370	3275	1502
1371	3277	1500
1372	3280	1497
1373	3282	1495
1374	3284	1492
1375	3286	1490
1376	3289	1488
1377	3291	1485
1378	3293	1483
1379	3295	1480
1380	3298	1478
1381	3300	1475
1382	3302	1473
1383	3305	1471
1384	3307	1468
1385	3310	1466
1386	3312	1464
1387	3314	1461
1388	3316	1458
1389	3318	1456
1390	3322	1454
1391	3324	1452
1392	3327	1449
1393	3329	1447
1394	3331	1444
1395	3333	1442
1396	3336	1440
1397	3339	1437
1398	3341	1435
1399	3344	1433
1400	3346	1430
1401	3348	1428
1402	3350	1425
1403	3353	1423
1404	3355	1421
1405	3357	1418
1406	3359	1415
1407	3361	1413
1408	3364	1411
1409	3366	1408
1410	3369	1406
1411	3371	1404
1412	3373	1401
1413	3375	1399
1414	3378	1396
1415	3380	1394
1416	3383	1391
1417	3385	1389
1418	3387	1387
1419	3389	1384
1420	3392	1382
1421	3394	1379
1422	3396	1377
1423	3399	1374
1424	3402	1372
1425	3404	1370
1426	3406	1367
1427	3408	1365
1428	3410	1362
1429	3412	1360
1430	3415	1357
1431	3417	1355
1432	3420	1353
1433	3422	1350
1434	3425	1348
1435	3427	1346
1436	3429	1343
1437	3431	1341
1438	3434	1338
1439	3436	1336
1440	3439	1334
1441	3442	1331
1442	3444	1329
1443	3446	1326
1444	3448	1324
1445	3450	1322
1446	3452	1319
1447	3454	1317
1448	3456	1314
1449	3458	1311
1450	3460	1309
1451	3463	1307
1452	3466	1304
1453	3468	1302
1454	3471	1300
1455	3473	1297
1456	3475	1295
1457	3478	1292
1458	3480	1290
1459	3483	1288
1460	3485	1285
1461	3487	1283
1462	3489	1280
1463	3492	1278
1464	3494	1276
1465	3496	1273
1466	3499	1271
1467	3501	1268
1468	3503	1266
1469	3505	1263
1470	3507	1261
1471	3510	1259
1472	3512	1256
1473	3515	1254
1474	3517	1251
1475	3519	1249
1476	3521	1247
1477	3524	1244
1478	3526	1242
